star,planet,planet_status,mass,radius,period_days,sma_au,eccentricity,temp_eq,discovered,updated,detection_type,molecules
Alpha Tirna,HD 102365 Ab,Confirmed,,,122.1,0.46,0.34,,2011,2025-02-11,Radial Velocity,
Bara,70 Vir Ab,Confirmed,,,116.67,0.48,0.43,,1996,2025-02-11,Radial Velocity,
Barnard's Star,Barnard's star b,Confirmed,,,3.1542,0.02294,0.03,438.0,2024,2025-03-12,Radial Velocity,
Barnard's Star,Barnard's star c,Candidate ,,,4.1244,0.0274,0.08,400.0,2024,2025-03-12,Radial Velocity,
Barnard's Star,Barnard's star d,Candidate ,,,2.3402,0.0188,0.04,483.0,2024,2025-03-12,Radial Velocity,
Barnard's Star,Barnard's star e,Candidate ,,,6.7392,0.0381,0.04,340.0,2024,2025-03-12,Radial Velocity,
Eridani,82 Eri b,Confirmed,,,18.3142,0.1257,0.065,,2011,2024-11-04,Radial Velocity,
Eridani,82 Eri c,Confirmed,,,89.68,0.3625,0.077,,2011,2024-11-04,Radial Velocity,
Eridani,82 Eri d,Confirmed,,,647.6,1.354,0.45,,2011,2024-11-04,Radial Velocity,
Eridani,82 Eri e,Candidate ,,,147.02,0.509,0.29,,2017,2024-05-28,Radial Velocity,
Kryx,lam Ser b,Confirmed,,,15.5083,0.1238,0.16,,2021,2024-05-28,Radial Velocity,
Luyten's Star,Luyten's Star b,Confirmed,0.00922,,18.64,0.091,0.1,,2017,2024-07-31,Radial Velocity,
Luyten's Star,Luyten's Star c,Confirmed,0.00374,,4.72322,0.036,0.17,,2017,2024-07-31,Radial Velocity,
Luyten's Star,Luyten's Star d,Confirmed,0.03448,,413.9,0.712,0.0,,2019,2024-07-31,Radial Velocity,
Luyten's Star,Luyten's Star e,Confirmed,0.0297,,542.0,0.849,0.0,,2019,2024-07-31,Radial Velocity,
Oborum Proxima,GJ 667 Cb,Confirmed,,,7.2004,0.0505,0.13,,2009,2024-07-29,Radial Velocity,
Oborum Proxima,GJ 667 Cc,Confirmed,,,28.14,0.125,0.02,,2011,2024-07-29,Radial Velocity,
Oborum Proxima,GJ 667 Ce,Confirmed,,,62.24,0.213,0.02,,2013,2024-07-29,Radial Velocity,
Oborum Proxima,GJ 667 Cf,Confirmed,,,39.026,0.156,0.03,,2013,2024-07-29,Radial Velocity,
Oborum Proxima,GJ 667 Cg,Confirmed,,,256.2,0.549,0.08,,2013,2024-07-29,Radial Velocity,
Rutherford,GJ 504  b,Confirmed,4.0,0.96,,43.5,,,2013,2025-01-05,Imaging,"CH4, NH3"
Sakharov,GJ 674 b,Confirmed,,1.13,4.6944,0.039,0.07,,2007,2019-06-13,Radial Velocity,
Shoza,tau Boo Ab,Confirmed,5.78,1.06,3.31,0.046,0.08,,1996,2025-03-24,Radial Velocity,"CO, H2O"
Tau Ceti,tau Cet e,Candidate ,,,162.87,0.538,0.18,,2012,2017-08-15,Radial Velocity,
Tau Ceti,tau Cet f,Candidate ,,,636.13,1.334,0.16,,2012,2017-08-15,Radial Velocity,
Tau Ceti,tau Cet g,Candidate ,,,20.0,0.133,0.06,,2017,2021-03-30,Radial Velocity,
Tau Ceti,tau Cet h,Candidate ,,,49.41,0.243,0.23,,2017,2017-08-15,Radial Velocity,
Volii,61 Vir b,Confirmed,,,4.215,0.050201,0.12,,2009,2023-08-28,Radial Velocity,
Volii,61 Vir c,Confirmed,,,38.021,0.2175,0.14,,2009,2023-08-28,Radial Velocity,
Volii,61 Vir d,Confirmed,,,123.01,0.476,0.35,,2009,2023-08-28,Radial Velocity,
Wolf,Wolf 359 c,Candidate ,,,2.68687,0.018,0.15,,2019,2019-06-14,Radial Velocity,
